type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PV-0-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4865395.6219999995,0.0,0.0,18117637.62,17881688.830000002,22128086.71,26187342.669999998,14820775.509999998,32276037.32,49799746.97,33756114.12,50650458.78,58306545.559999995,48716044.89,63730150.08,65770059.52,70163048.64,70370813.82000001,71624742.58999999,74637782.63,73349156.22999999,79044465.67000002,72873184.82000001,68338575.4,64481440.57999999,62328553.8,75227416.10000001,64598068.11000001,58387653.67000001,70561431.47000001,59503217.17999999,50748234.410000004,50966337.419999994,38844479.8,46437335.690000005,31720182.25,30170479.360000003,38676222.31,27783501.339999996,10416405.97,26636211.769999996,11602701.43,13099764.39,4538353.259000001,5764784.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5351935.184199999,0.0,0.0,19929401.382,19669857.713000003,24340895.381,28806076.937,13338697.958999999,29048433.588,51475249.939300016,30380502.707999997,45585412.902,52475891.00399999,43844440.401,57357135.072,59193053.568,63146743.776,63333732.43800001,64462268.330999985,67174004.367,66014240.60699999,71140019.10300002,65585866.33800001,61504717.86000001,70929584.638,68561409.17999999,82750157.71000001,71057874.921,64226419.03700001,77617574.61700001,65453538.897999994,55823057.851,56062971.16199999,42728927.779999994,51081069.259,34892200.475,33187527.296000004,42543844.541,30561851.473999996,11458046.567000002,29299832.946999997,12762971.572999999,14409740.829,4992188.584900001,6341262.538600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-0-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5351935.184199999,0.0,0.0,19929401.382,19669857.713000003,24340895.381,28806076.937,13338697.958999999,29048433.588,51475249.939300016,30380502.707999997,45585412.902,52475891.00399999,43844440.401,57357135.072,59193053.568,63146743.776,63333732.43800001,64462268.330999985,67174004.367,66014240.60699999,71140019.10300002,65585866.33800001,61504717.86000001,70929584.638,68561409.17999999,82750157.71000001,71057874.921,64226419.03700001,77617574.61700001,65453538.897999994,55823057.851,56062971.16199999,42728927.779999994,51081069.259,34892200.475,33187527.296000004,42543844.541,30561851.473999996,11458046.567000002,29299832.946999997,12762971.572999999,14409740.829,4992188.584900001,6341262.538600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752889.823,4058684.583,12069604.83,0.0,17575194.040000003,17408790.77,23308954.080000002,34901779.01,21561532.090000004,14127140.81,40362690.6,50559159.32,53467838.75,46042266.35,48548973.85,58849068.739999995,68045887.89,76883655.72,65387598.48,75550336.21,79898496.4,71108364.5,84652626.35000001,82414146.47999999,69379670.92,80958610.72,70419545.04,71553008.79,61179936.53,70470925.69,56521443.91,52868103.66000001,48361017.72,57058329.14,46812682.199999996,32895878.639999997,44523117.68,35222291.63,28533544.360000003,24927642.75,12817078.940000001,20364521.57,11067334.459999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028178.8052999997,4464553.041300001,13276565.313000001,0.0,19332713.444000002,19149669.847,25639849.488,38391956.911,23717685.299000002,15539854.891,44398959.660000004,55615075.252000004,58814622.625,50646492.985,53403871.235,64733975.61399999,74850476.679,84572021.292,71926358.328,83105369.831,87888346.04,78219200.95,93117888.98500001,74172731.83199999,62441703.828,72862749.648,63377590.536000006,64397707.911000006,55061942.877000004,63423833.121,50869299.518999994,47581293.29400001,43524915.948,51352496.225999996,42131413.98,29606290.775999997,40070805.912,31700062.467,25680189.924000002,22434878.475,11535371.046,18328069.413,11083330.777400032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-1-output-max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028178.8052999997,4464553.041300001,13276565.313000001,0.0,19332713.444000002,19149669.847,25639849.488,38391956.911,23717685.299000002,15539854.891,44398959.660000004,55615075.252000004,58814622.625,50646492.985,53403871.235,64733975.61399999,74850476.679,84572021.292,71926358.328,83105369.831,87888346.04,78219200.95,93117888.98500001,74172731.83199999,62441703.828,72862749.648,63377590.536000006,64397707.911000006,55061942.877000004,63423833.121,50869299.518999994,47581293.29400001,43524915.948,51352496.225999996,42131413.98,29606290.775999997,40070805.912,31700062.467,25680189.924000002,22434878.475,11535371.046,18328069.413,11083330.777400032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2-0-input,76166604.6999999,76446946.09999993,76880038.99999991,76783276.59999995,76877276.39999995,76923980.00000003,76652000.99999997,76665743.69999997,76642727.19999999,76581429.69999997,76704293.89999996,77459998.5999999,77059672.50000003,64907436.86999996,75175195.00000003,76987162.70000003,69031431.02000014,35086389.83999997,75748441.29999995,79408518.90000005,76861279.90000004,76065366.0999999,76749243.7,81951958.20000003,75492996.10000004,76042752.70000003,75250425.90000002,11985939.344534993,363.55228199999993,0.0,2878236.883167002,59777333.330000035,75449801.49999994,73908190.70000002,76438599.20000009,71571867.07000011,23810427.799999997,73555588.50000001,84457569.89999995,80006491.99999996,83787916.59999995,61850126.57,74348440.09999992,79997253.30000001,95997782.60000007,95439921.69999982,56094181.090000086,70066531.60000001,92270279.5900001,55699520.03000006,56808097.81999998,74002603.90000002,35628347.00999998,107309.14046699964,647.7764329999975,637.2953879999988,760.192055999997,1200483.6592539998,2052482.419999998,60791284.300000034,82411269.6000001,82550924.49999991,97259027.40000011,77051391.89999995,76116063.69999999,76647748.89999995,43493087.37000003,97736.76069999972,42.335660999999874,0.0,0.0,0.0,0.0,0.0,58.98201000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15858359.572536008,70213452.39999996,76034733.20000005,73865119.20000003,75680481.29999992,74825729.3,63743275.379999936,66243722.59999996
L2-0-output-min,76166604.6999999,76446946.09999993,76880038.99999991,56783276.59999995,56877276.39999995,56923980.00000003,56652000.99999997,56665743.69999997,56642727.19999999,56581429.69999997,56704293.89999996,57459998.599999905,57059672.50000003,64907436.86999996,75175195.00000003,76987162.70000003,69031431.02000014,35086389.83999997,75748441.29999995,79408518.90000005,76861279.90000004,76065366.0999999,76749243.7,81951958.20000003,75492996.10000004,76042752.70000003,75250425.90000002,11985939.344534993,363.55228199999993,0.0,2878236.883167002,59777333.330000035,75449801.49999994,73908190.70000002,76438599.20000009,71571867.07000011,23810427.799999997,73555588.50000001,84457569.89999995,80006491.99999996,83787916.59999995,61850126.57,74348440.09999992,79997253.30000001,95997782.60000007,95439921.69999982,56094181.090000086,70066531.60000001,92270279.5900001,55699520.03000006,56808097.81999998,74002603.90000002,35628347.00999998,107309.14046699964,647.7764329999975,0.0,0.0,0.0,0.0,40791284.300000034,62411269.6000001,62550924.49999991,77259027.40000011,57051391.89999995,56116063.69999999,56647748.89999995,43493087.37000003,97736.76069999972,42.335660999999874,0.0,0.0,0.0,0.0,0.0,58.98201000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15858359.572536008,70213452.39999996,76034733.20000005,73865119.20000003,75680481.29999992,74825729.3,63743275.379999936,66243722.59999996
L2-0-output-max,76166604.6999999,76446946.09999993,76880038.99999991,76783276.59999995,76877276.39999995,76923980.00000003,76652000.99999997,76665743.69999997,76642727.19999999,76581429.69999997,76704293.89999996,77459998.5999999,77059672.50000003,64907436.86999996,75175195.00000003,76987162.70000003,69031431.02000014,35086389.83999997,75748441.29999995,79408518.90000005,76861279.90000004,76065366.0999999,76749243.7,81951958.20000003,75492996.10000004,76042752.70000003,75250425.90000002,11985939.344534993,363.55228199999993,0.0,2878236.883167002,59777333.330000035,75449801.49999994,73908190.70000002,76438599.20000009,71571867.07000011,23810427.799999997,73555588.50000001,84457569.89999995,80006491.99999996,83787916.59999995,61850126.57,74348440.09999992,79997253.30000001,95997782.60000007,95439921.69999982,56094181.090000086,70066531.60000001,92270279.5900001,55699520.03000006,56808097.81999998,74002603.90000002,35628347.00999998,107309.14046699964,647.7764329999975,637.2953879999988,760.192055999997,1200483.6592539998,2052482.419999998,60791284.300000034,82411269.6000001,82550924.49999991,97259027.40000011,77051391.89999995,76116063.69999999,76647748.89999995,43493087.37000003,97736.76069999972,42.335660999999874,0.0,0.0,0.0,0.0,0.0,58.98201000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15858359.572536008,70213452.39999996,76034733.20000005,73865119.20000003,75680481.29999992,74825729.3,63743275.379999936,66243722.59999996
L3-0-input,36298165.43,36779284.20000003,37315425.25999998,36812107.150000036,24479043.38,30872182.07999998,33632224.83999996,32785573.120000042,33081750.379999973,34377235.319999926,32121957.460000042,37056972.07999998,34417217.47999998,36668801.820000045,34527983.68999998,33751539.319999985,34805584.81999999,35428992.57999995,7057093.510000012,29181406.830000017,34045831.36000002,29957490.620000046,31000585.139999986,35246089.769999996,32539816.470000017,34573298.73,32745498.06000003,33057441.640000034,32340853.599999968,29902239.999999978,28256619.71000001,19580321.290000018,21189211.660000026,29910927.069999956,4543258.1400000015,15301877.570000002,31851087.26000003,32139002.070000023,25823237.42000002,11678651.430000016,4670840.5299999975,27810793.429999966,32911765.08999998,29839504.45999999,31713883.710000012,25662360.450000025,28007328.579999972,22648029.299999997,18857058.859999996,25259136.699999973,23123454.44000001,26733194.18000001,18784987.629999995,26148515.360000025,17068234.49000001,17881018.220000044,25051890.78,9456558.01,22542791.95999994,22606229.03999997,21275998.66000001,22379389.93999998,18159821.13,27513197.91000001,15226231.580000008,23639612.180000007,18477134.47999998,499175.3644500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5855294.740000005,14575460.039999971,24952264.94999999,20318651.37999999,23258249.180000003,19213770.530000016,17440480.840000004,27899594.659999967
